Year,Category,QN,Passage
2022,Context,Q40,"Philip Kitcher and Wesley Salmon have suggested that
there are two possible alternatives among philosophical
theories of explanation. One is the view that scientific
explanation consists in the unification of broad bodies of
phenomena under a minimal number of generalizations.
According to this view, the (or perhaps, a) goal of science
is to construct an economical framework of laws or
generalizations that are capable of subsuming all observable
phenomena. Scientific explanations organize and systematize
our knowledge of the empirical world; the more economical
the systematization, the deeper our understanding of what
is explained. The other view is the causal/mechanical
approach. According to it, a scientific explanation of a
phenomenon consists of uncovering the mechanisms that
produced the phenomenon of interest. This view sees the
explanation of individual events as primary, with the
explanation of generalizations flowing from them. That is,
the explanation of scientific generalizations comes from
the causal mechanisms that produce the regularities."
2021,Context,Q40,"From a cross-cultural perspective the equation between
public leadership and dominance is questionable. What does
one mean by dominance? Does it indicate coercion? Or
control over the most valued? Political systems may be
about both, either, or conceivably neither. The idea of
control would be a bothersome one for many peoples, as
for instance among many native peoples of Amazonia where
all members of a community are fond of their personal
autonomy and notably allergic to any obvious expression of
control or coercion. The conception of political power as a
coercive force, while it may be a Western fixation, is not a
universal. It is very unusual for an Amazonian leader to give
an order. If many peoples do not view political power as a
coercive force, nor as the most valued domain, then the leap
from the political to domination (as coercion), and from
there to domination of women, is a shaky one. As Marilyn
Strathern has remarked, the notions of the political and
political personhood are cultural obsessions of our own, a
bias long reflected in anthropological constructs."
2020,Context,Q40,"Biological organisms, including human societies both with
and without market systems, discount distant outputs over
those available at the present time based on risks associated
with an uncertain future. As the timing of inputs and outputs
varies greatly depending on the type of energy, there is a
strong case to incorporate time when assessing energy
alternatives. For example, the energy output from solar panels
or wind power engines, where most investment happens
before they begin producing, may need to be assessed
differently when compared to most fossil fuel extraction
technologies, where a large proportion of the energy output
comes much sooner, and a larger (relative) proportion of
inputs is applied during the extraction process, and not
upfront. Thus fossil fuels, particularly oil and natural gas, in
addition to having energy quality advantages (cost, storability,
transportability, etc.) over many renewable technologies, also
have a temporal advantage after accounting for human
behavioral preference for current consumption/return."
2019,Context,Q40,"Biological organisms, including human societies both with
and without market systems, discount distant outputs over
those available at the present time based on risks associated
with an uncertain future. As the timing of inputs and outputs
varies greatly depending on the type of energy, there is a
strong case to incorporate time when assessing energy
alternatives. For example, the energy output from solar panels
or wind power engines, where most investment happens
before they begin producing, may need to be assessed
differently when compared to most fossil fuel extraction
technologies, where a large proportion of the energy output
comes much sooner, and a larger (relative) proportion of
inputs is applied during the extraction process, and not
upfront. Thus fossil fuels, particularly oil and natural gas, in
addition to having energy quality advantages (cost, storability,
transportability, etc.) over many renewable technologies, also
have a temporal advantage after accounting for human
behavioral preference for current consumption/return."
2018,Context,Q40,"Time spent on on-line interaction with members of one_s
own, preselected community leaves less time available for
actual encounters with a wide variety of people. If physicists,
for example, were to concentrate on exchanging email and
electronic preprints with other physicists around the world
working in the same specialized subject area, they would
likely devote less time, and be less receptive to new ways of
looking at the world. Facilitating the voluntary construction
of highly homogeneous social networks of scientific
communication therefore allows individuals to filter the
potentially overwhelming flow of information. But the
result may be the tendency to overfilter it, thus eliminating
the diversity of the knowledge circulating and diminishing
the frequency of radically new ideas. In this regard, even a
journey through the stacks of a real library can be more
fruitful than a trip through today_s distributed virtual
archives, because it seems difficult to use the available
search engines to emulate efficiently the mixture of
predictable and surprising discoveries that typically result
from a physical shelf-search of an extensive library collection."
2017,Context,Q40,"The impacts of tourism on the environment are evident
to scientists, but not all residents attribute environmental
damage to tourism. Residents commonly have positive
views on the economic and some sociocultural influences
of tourism on quality of life, but their reactions to
environmental impacts are mixed. Some residents feel
tourism provides more parks and recreation areas,
improves the quality of the roads and public facilities, and
does not contribute to ecological decline. Many do not
blame tourism for traffic problems, overcrowded outdoor
recreation, or the disturbance of peace and tranquility of
parks. Alternatively, some residents express concern that
tourists overcrowd the local fishing, hunting, and other
recreation areas or may cause traffic and pedestrian
congestion. Some studies suggest that variations in
residents feelings about tourism_s relationship to
environmental damage are related to the type of tourism,
the extent to which residents feel the natural environment
needs to be protected, and the distance residents live from
the tourist attractions."
2016,Context,Q40,"Performance must be judged in terms of what is under
the control of the individuals being evaluated rather than
those influences on performance that are beyond their
control. There can be broad, influential factors, sometimes
of an economic nature, that hold down the performance
of everyone being judged. One example is in sales. If there
is a general downturn in the economy and products or
services are not being purchased with the same frequency
as in the previous year, sales could be down, for example,
by an average of 15%. This 15% (actually 15%) figure
would then represent average performance. Perhaps the
best salesperson in the year had only a 3% drop in sales
over the previous year. Thus, good performance in this
situation is a smaller loss compared to some average or
norm group."
2015,Context,Q40,"Plato and Tolstoy both assume that it can be firmly
established that certain works have certain effects. Plato is
sure that the representation of cowardly people makes us
cowardly; the only way to prevent this effect is to suppress
such representations. Tolstoy is confident that the artist
who sincerely expresses feelings of pride will pass those
feelings on to us; we can no more escape than we could
escape an infectious disease. In fact, however, the effects
of art are neither so certain nor so direct. People vary a
great deal both in the intensity of their response to art and
in the form which that response takes. Some people may
indulge fantasies of violence by watching a film instead of
working out those fantasies in real life. Others may be
disgusted by even glamorous representations of violence.
Still others may be left unmoved, neither attracted nor
disgusted."
2022,Infer-Logic,Q39,"As long as the irrealism of the silent black and white film
predominated, one could not take filmic fantasies for
representations of reality. Cinema is valuable not for its ability to make visible the
hidden outlines of our reality, but for its ability to reveal what
reality itself veils the dimension of fantasy. This is
why, to a person, the first great theorists of film decried the
introduction of sound and other technical innovations (such as
color) that pushed film in the direction of realism. Since
cinema was an entirely fantasmatic art, these innovations were
completely unnecessary. And what is worse, they could
do nothing but turn filmmakers and audiences away from the
fantasmatic dimension of cinema, potentially transforming
film into a mere delivery device for representations of
reality. But sound and color threatened to create just
such an illusion, thereby destroying the very essence of film
art. As Rudolf Arnheim puts it, The creative power of
the artist can only come into play where reality and the
medium of representation do not coincide."
2021,Infer-Logic,Q39,"Designers draw on their experience of design when approaching
a new project. This includes the use of previous designs that they
know work  both designs that they have created themselves and
those that others have created. Others creations often spark
inspiration that also leads to new ideas and innovation. This
is well known and understood. However, the expression
of an idea is protected by copyright, and people who infringe on
that copyright can be taken to court and prosecuted. Note that copyright covers the expression of an idea and
not the idea itself. This
means, for example, that while there are numerous smartphones
all with similar functionality, this does not represent an
infringement of copyright as the idea has been expressed in
different ways and it is the expression that has been
copyrighted. Copyright is free and is automatically
invested in the author, for instance, the writer of a book or a
programmer who develops a program, unless they sign the
copyright over to someone else."
