ID,Title,Keywords1,Keywords2,Abstract,Year
1,Implementing digital multimodal composing in L2 writing instruction: a focus on developing L2 student writers,digital multimodal composing; teaching innovation; developing L2 student writers; L2 writing; new literacy,MULTILITERACIES,"This article introduced a teaching innovation practice, i.e., digital multimodal composing, in College English course in mainland China. The purpose of this practice is to respond to the developing L2 student writers' difficulty of lacking linguistic resources to express their creative ideas, and empower them to leverage multiple modes other than the language mode to make their meaning, and meanwhile to raise their interest, motivation, and enjoyment in L2 writing. Data were collected from student interviews in conjunction with DMC samples. It was reported that a majority of the developing L2 student writers positively perceived the affordances of DMC, that is, having access to multiple modes to fully express creative ideas, feeling more enjoyable and less anxious in L2 writing, being more motivated to interact with authentic audiences, and forming the habit of constantly revising scripts. This points to important pedagogical implications for the future implementation of digital multimodal composing projects by launching individual digital multimodal composing tasks, constructing and validating DMC rubrics, and enhancing collaboration between teachers and researchers to bring innovative DMC pedagogy into L2 writing instruction practice.",2023
2,Conceptualizing digital multimodal composing competence in L2 classroom: a qualitative inquiry,Digital multimodal composing (DMC); L2 learners; writing assessment; digital writing competence; writing instruction,ENGLISH; VIDEO; MULTILITERACIES; ADOLESCENT; PEDAGOGY; PROJECT,"While research on digital multimodal composing (DMC) has been skewed towards the instructional design and affordances of DMC for L2 learners, there is a wider need to develop conceptual models of L2 DMC competence, with which L2 learners can successfully design DMC works and respond to the multimodal reading and writing demands of the digital era. To date, the studies on DMC competence have primarily taken an etic approach to identifying the salient features of effective DMC samples or examining teachers' perceptions of L2 student DMC competence. Few, however, have taken an emic approach to capturing the DMC competence from the perspective of L2 learners who have first-hand participatory experiences in designing DMC works. Therefore, the present study addresses the research gap by taking an emic approach to examining L2 student DMC competence through student focus group interviews with ten groups of students, classroom observations of student self and peer feedback on digital multimodal compositions, and DMC sample analysis. The clarification of L2 DMC competence can guide the measurement and instruction of L2 DMC competence, promote the integration of DMC competence into the L2 curriculum, and drive L2 learners to engage with self-assessment of DMC competence to develop their DMC competence.",2023
3,Patterns of peer interaction in multimodal L2 digital social reading,Digital Social Reading; Multiliteracies; Instructional Pragmatics; L2 Reading,CRITICAL THINKING; LANGUAGE; MULTILITERACIES; AFFORDANCES; ENVIRONMENT,"Although L2 reading is traditionally framed as an individual enterprise, digital annotation tools (DATs) have recently been developed allowing groups of readers to collaborate and provide mutual scaffolding through collective annotation of texts (Blyth, 2014; Thoms, Sung, & Poole, 2017). These tools reframe L2 reading as an interactive process where meaning is socially constructed. Digital social reading supports a multiliteracies approach to teaching L2 pragmatics. This study investigates interactional patterns in social reading across multiple groups of learners. In total, 215 students enrolled in 11 sections of a beginning university French course used the DAT eComma to annotate six L2 songs over three months. We performed a mixed-methods analysis of the annotations. Social engagement, as measured by the frequency of questions and replies as well as word count, decreased over time, and the use of linguistic affordances increased in later songs. However, these patterns were highly variable across the sections. Language choice, social engagement and register, among other factors, were influenced by the shared practices of members of each section. Through their interactions, participants co-constructed meaning about the texts themselves as well as broader cultural and pragmatic questions. Instructors reported that engagement in class discussion corresponded to that of the online discussion.",2020
4,Understanding L2 use in MMOGs: A linguistic framework of digital gaming,computer-assisted language learning; digital game-based L2 learning; digital gaming framework; massive-multiplayer online games,GAME; ENGLISH; PLAY; WORLD,"The L2 learning potentials of massive multiplayer online games (MMOGs) have been established in various studies; however, the fine-grained dynamics of digital game-based L2 learning are yet to be uncovered. A potential cause of this limitation is a limited understanding of the interconnected, situated, and dynamic nature of digital gaming as a context for L2 use and practice. To shed light on this underexplored research territory, the present study adopts a theoretical approach to conceptualizing digital gaming in MMOGs as a dynamic, multilayered context for L2 use and practice. Informed by multidisciplinary research on digital gaming, and framed in Activity Theory, this paper proposes a dynamic and ecological linguistic framework of digital gaming activities in MMOGs. The framework conceptualizes digital, game-based L2 practice as a dynamic process of drawing on available linguistic and semiotic resources to learn a game rules and manage gameplay. The paper also applies the framework as an analytical lens to an existing study to demonstrate its merit for current and future research and discusses it implications for future research and practice.",2022
5,Modeling EFL learners' willingness to communicate: The roles of face-to-face and digital L2 communication anxiety,Face-to-face L2 communication anxiety; digital L2 communication anxiety; willingness to communicate in a second language,LANGUAGE ANXIETY; MOTIVATION; ENGLISH,"This study proposes and tests a comprehensive model (with demographics, informal digital learning of English, ideal/ought-to L2 self, L2 enjoyment, and self-perceived communication competence) of face-to-face and digital communication anxiety's relationship to willingness to communicate in a second language (L2 WTC) within in-class, out-of-class, and digital contexts. A structural equation model of survey responses from 1,269 Koreans learning English as a foreign language (746 secondary and 523 university students) showed that in all three settings, students with lower anxiety showed greater L2 WTC. Within in-class and out-of-class contexts, students with higher self-perceived English ability had lower face-to-face anxiety, which in turn yielded higher L2 WTC. In digital settings, students with a higher ideal L2 self (i.e., a more positive evaluation of their ability to attain the ideal L2 self) showed less overall anxiety (comprising face-to-face and digital anxieties), which yielded greater L2 WTC. These results suggest that future studies can test whether interventions to lower anxiety can increase L2 WTC across communication venues.",2023
6,Second language (L2) gains through digital game-based language learning (DGBLL): A meta-analysis,Digital Game-based Language Learning; Meta-analysis; Digital Games; L2 Learning Outcomes,VIDEO GAMES; VOCABULARY; ENGLISH; INSTRUCTION; CLASSROOM; IMPACT; SIMS,"Studies on digital game-based language learning (DGBLL) have increased in numbers, creating a pool of studies that can be meta-analyzed to measure the overall effect of digital gaming on second language (L2) development. The current meta-analysis targets digital games that were available to the public at the time of data collection, January of 2020, aggregating their effects on L2 development overall and across a number of moderator variables. These moderator variables include the game developers' intended purpose of the game (educational or entertainment), outcome measures (e.g., vocabulary, overall proficiency), and several game design features such as the type of player interaction (single player, multiplayer, massively multiplayer online), among others. Results indicate that DGBLL has had a small to medium positive effect (Cohen's d(weighted) = 0.50) for between-groups designs and a medium effect (d(weighted) = 0.95) for within- group designs. Games designed for entertainment were found to be more effective than those designed for L2 education, although there is some overlap in the 95% confidence intervals of the two groups. The overall findings and those from additional moderator analyses are discussed in light of previous DGBLL findings while offering direction for future research and recommendations for improving the methodological rigor and transparency in DGBLL research.",2022
7,Reexamining feedback on L2 digital writing,digital multimodal composing; digital feedback for multimodal texts; nonlinguistic feedback; assessment rubrics; literacies,MULTIMODAL ASSESSMENT; GENRE; COMMUNICATION; LITERACIES; SCIENCE; DESIGN; TOOLS,"The integration of digital multimodal composing (DMC) in the second language (L2) and heritage language (HL) classrooms has expanded our notion of writing, shifting from a focus on the written mode to include other modes of expression (e.g., visual, textual, or aural). Notwithstanding the increasing presence of L2 multimodal learning tasks, which combine different semiotic resources (e.g., language and visual compo-nents such as images or videos) as intrinsic elements used to generate meaning, in-structors have not yet modified the way in which they provide feedback. That is, de-spite the increasing integration of different modes in a multimodal task, instructors still focus exclusively on language development - replicating the feedback behaviors modeled by non-digital writing assignments - rather than on all the components of multimodal texts. In digitally influenced environments and societies, however, there is a need to reconsider our approaches to feedback to pay greater attention to the linguistic and nonlinguistic elements of DMC. With the scarcity of research on feed-back in DMC, this article first identifies a gap in multimodal teaching and research regarding the role and focus on feedback in DMC, and, second, provides an assess-ment rubric from which to base formative feedback that addresses both linguistic and nonlinguistic elements to help students develop their multimodal texts.",2022
8,Out-of-school digital gameplay and in-school L2 English vocabulary outcomes,L2 vocabulary acquisition; Informal learning; Incidental learning; Gender; CALL; COTS games; Digital games,VIDEO GAME; LANGUAGE; ACQUISITION; CHALLENGES,"The aim of the present study is to examine the relation between out-of-school digital gameplay and in-school L2 English vocabulary measures and grading outcomes. Data were originally collected from a sample of 80 teenage Swedish L2 English learners and comprise a questionnaire, language diaries, vocabulary tests, assessed essays, and grades. Using an observational post-hoc design, three Digital Game Groups (DGGs) were created based on frequency of gameplay: (1) non-gamers (0 h/week), (2) moderate gamers (<5 h/week), and (3) frequent gamers (>5 h/week). Results show that DGG3 had the highest rated essays, used the most advanced vocabulary in the essays, and had the highest grades, closely followed by DGG1, while DGG2 trailed behind. For the vocabulary tests, DGG3 was followed by DGG2 and DGG1, indicating that gameplay aligns more directly with vocabulary test scores than vocabulary indicators drawn from essays. Due to the gender distribution of non-gamers (predominantly girls) and frequent gamers (exclusively boys), a subsidiary aim is to investigate how gameplay correlates with outcomes for boys and girls: significant correlations were found for gameplay vocabulary tests/English grades for the boys. (C) 2015 Elsevier Ltd. All rights reserved.",2015
9,"Informal digital learning of English and L2 willingness to communicate: roles of emotions, gender, and educational stage",Informal Digital Learning of English; willingness to communicate in a second language; L2 enjoyment; L2 anxiety; gender; educational stage,,"This study was conducted with two goals in mind: (1) to explore the mediating roles of L2 enjoyment as a positive emotion and L2 anxiety as a negative emotion in the relationship between Informal Digital Learning of English (IDLE) and L2 willingness to communicate (L2 WTC) in an exam-oriented EFL context, and (2) to further examine whether gender and educational stage play any role in these relationships. Participants include 1,265 Korean EFL learners (764 secondary and 501 tertiary students; 400 males and 865 females). Moderated mediation structural equation modelling results found: (1) L2 enjoyment and L2 anxiety partially mediated the relationship between IDLE and L2 WTC. L2 enjoyment was a stronger mediator than L2 anxiety; (2) IDLE affected females more than males in terms of reducing their L2 anxiety; (3) L2 emotions played a similar mediation role for secondary and tertiary students. These findings advance our understanding of how emotions mediate the association between IDLE and L2 WTC in relation to individual and contextual differences.",2021
10,Digital innovations in L2 motivation: Harnessing the power of the Ideal L2 Self,Motivation; Ideal self; Digital animation; Avatar; Computer-assisted language learning,TECHNOLOGY; ENGLISH; SELVES,"Sustained motivation is crucial to learning a second language (L2), and one way to support this can be through the mental visualisation of ideal L2 selves (Dornyei & Kubanyiova, 2014). This paper reports on an exploratory study which investigated the possibility of using technology to create representations of language learners' ideal L2 selves digitally. Nine Chinese learners of L2 English were invited to three semi-structured interviews to discuss their ideal L2 selves and their future language goals, as well as their opinions on several different technological approaches to representing their ideal L2 selves. Three approaches were shown to participants: (a) 2D and 3D animations, (b) Facial Overlay, and (c) Facial Mask. Within these, several iterations were also included (e.g. with/without background or context). Results indicate that 3D animation currently offers the best approach in terms of realism and animation of facial features, and improvements to Facial Overlay could lead to beneficial results in the future. Approaches using the 2D animations and the Facial Mask approach appeared to have little future potential. The descriptive details of learners' ideal L2 selves also provide preliminary directions for the development of content that might be included in future technology-based interventions. (c) 2018 Published by Elsevier Ltd.",2018
